tau,Ps_max,Pr_max,rs_hybrid,ee,outage
0.4,5.0,10.0,0.6645260130048103,0.24827612052335762,0.5742886828644501
0.4,10.0,2.0,0.6137616511653451,0.19850065854504284,0.6053788363171355
0.4,10.0,5.0,0.6513114124917618,0.21735469970251897,0.5867916799872123
0.4,10.0,10.0,0.6837538290206734,0.2274338343487981,0.5762418078644501
0.5,2.0,2.0,0.46167319952069646,0.2609221129999746,0.6583979379795396
0.5,2.0,5.0,0.5111906423288233,0.268304519641125,0.6387617886828645
0.5,2.0,10.0,0.5509577334079596,0.27067498024314873,0.6249150815217391
0.5,5.0,2.0,0.5037863737024615,0.21882948321302223,0.6524936061381074
0.5,5.0,5.0,0.5434616801074094,0.2314135610218853,0.6357946371483376
0.5,5.0,10.0,0.5780546993703184,0.2423341081041814,0.622082800511509
0.5,10.0,2.0,0.5314733523999333,0.19256885822319314,0.6515844789002557
0.5,10.0,5.0,0.5656198778420763,0.20940530361117,0.634885509910486
0.5,10.0,10.0,0.5913108683303189,0.22012499984725356,0.6256993286445013
0.6,2.0,2.0,0.37540148972245435,0.23032138384211703,0.7193294437340153
0.6,2.0,5.0,0.4076256062216161,0.23860423293564936,0.7049132832480819
0.6,2.0,10.0,0.4347469685480113,0.24061409008624912,0.6948179747442456
0.6,5.0,2.0,0.40330563169306194,0.19525537298768378,0.7171615249360613
0.6,5.0,5.0,0.4341451697947119,0.21161643345185252,0.7021259590792839
0.6,5.0,10.0,0.45473224343851093,0.21852177206207724,0.6942685022378516
0.6,10.0,2.0,0.4242398515534218,0.1758001114401366,0.7171565297314578
0.6,10.0,5.0,0.44458128957797194,0.19028458616617697,0.7049282688618926
0.6,10.0,10.0,0.4693242548524266,0.20493235844937738,0.6949128836317136
0.7000000000000001,2.0,2.0,0.24239379114202222,0.16947115778618152,0.8156619645140665
0.7000000000000001,2.0,5.0,0.25565127685399314,0.17170821071204628,0.8097426470588235
0.7000000000000001,2.0,10.0,0.27195754586278326,0.17849095036154208,0.8024196771099744
0.7000000000000001,5.0,2.0,0.25356529428221075,0.14494553755235184,0.817335358056266
0.7000000000000001,5.0,5.0,0.26724562830174975,0.155460436154357,0.8108266064578005
0.7000000000000001,5.0,10.0,0.28248703857059676,0.16310265675530106,0.8032189098465473
0.7000000000000001,10.0,2.0,0.2646938289141716,0.13256892571440132,0.8183993366368286
0.7000000000000001,10.0,5.0,0.2742288069575644,0.1434033684184789,0.8124100863171355
0.7000000000000001,10.0,10.0,0.28771531452303345,0.15424940051020258,0.8054068094629157
0.8,2.0,2.0,0.06813945437369444,0.05776787904636634,0.9475553468670077
0.8,2.0,5.0,0.07136232776524466,0.058429969865304736,0.9462815696930946
0.8,2.0,10.0,0.07336985438947788,0.0594039516061392,0.9444982816496164
0.8,5.0,2.0,0.06802592712366368,0.05116295169495866,0.9494085677749361
0.8,5.0,5.0,0.07107003285642476,0.05438511510906012,0.9477701406649617
0.8,5.0,10.0,0.07338447174262208,0.054954131898444024,0.9469409367007673
0.8,10.0,2.0,0.0708730506432026,0.04624482276170607,0.9494884910485933
0.8,10.0,5.0,0.07336520279764824,0.0512216411426168,0.9477701406649617
0.8,10.0,10.0,0.072816485863017,0.05232906303442348,0.9477251838235294
0.9,2.0,2.0,0.0,0.0,1.0
0.9,2.0,5.0,0.0,0.0,1.0
0.9,2.0,10.0,0.0,0.0,1.0
0.9,5.0,2.0,0.0,0.0,1.0
0.9,5.0,5.0,0.0,0.0,1.0
0.9,5.0,10.0,0.0,0.0,1.0
0.9,10.0,2.0,0.0,0.0,1.0
0.9,10.0,5.0,0.0,0.0,1.0
0.9,10.0,10.0,0.0,0.0,1.0
